task,disease_label,rep,fold,view,SampleKey,y_true,n_cells,attn_entropy,attn_top1,attn_top5_sum,attn_eff_n
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S1,1,102,2.6766845557596968,0.2239361459831984,0.7035437902796414,7.969259632561585
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S3,1,87,3.885349872487665,0.0636341990001807,0.2536306080008222,36.232304921736464
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S6,1,101,2.8558801372449167,0.1592666461027872,0.5795832652159617,11.586714009727832
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Bile-S9,1,100,2.732011506869757,0.2906087103655351,0.6311716424623641,8.0236366508366
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Control-S2,0,100,3.5283806260347763,0.1164769257657734,0.4085278748543081,20.432984505044345
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Control-S6,0,98,3.2047184279762484,0.1573593363617226,0.50789649751877,13.927368218531663
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2024Dec_Control-S8,0,99,3.752652394992346,0.0737238734927276,0.2670517509722501,31.789375487881436
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S10,1,76,3.061612088132323,0.102952063016878,0.4689999443231102,15.722532971820677
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S15,1,95,3.2450217850340537,0.1168699172248309,0.4359352427745764,17.589536842918253
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S16,1,77,2.983071358236594,0.1301814004731994,0.508054429419428,14.205465111519915
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S19,1,84,3.037160443809912,0.1268422389141938,0.4827575331060533,15.039645365667994
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S22,1,63,2.729666059236749,0.2022420199234564,0.6156870259299276,10.165966297183118
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S4,1,78,3.1859769694992246,0.1387536989821432,0.4422619136411365,16.47969455152988
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S6,1,84,3.239456329970823,0.0940461139838124,0.4142561620606213,17.821237453815083
stage1_MIL_Control_vs_Bile,Bile,5,1,all,20250430S9,1,67,2.995903677461518,0.1695284241525308,0.5720676014870493,12.006393828919071
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2025Jan_Bile-B24,1,70,3.676950691830977,0.0644537628530833,0.2739060360766944,31.244051269592717
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2025Jan_Bile-B27,1,37,3.1462512597700187,0.088000625744493,0.3743225351922175,19.54255702450008
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2026Apr-2_Control-20260427S2,0,95,3.112830426392103,0.0859889199145905,0.3638320786038086,18.795638127147
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2026Apr-2_Control-20260427S5,0,97,3.459019764275998,0.054286397227649,0.2618275800029162,26.854403007728543
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2026Apr-2_Control-20260427S8,0,90,3.121339162104582,0.0951488946110904,0.4165395469985844,17.42811951235947
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2026Apr_Control-20260401S10,0,89,3.1491954538230105,0.1148232536718305,0.4403069296056103,16.40309165345821
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2026Apr_Control-20260401S2,0,77,2.90922829985342,0.1844612265155604,0.5328878246266833,12.122600153008518
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2026Apr_Control-20260401S5,0,69,2.3183686758148028,0.2599105618327982,0.8051951928751765,6.235673824456733
stage1_MIL_Control_vs_Bile,Bile,5,1,all,2026Apr_Control-20260401S8,0,85,2.982040698714931,0.165429942268849,0.4843343564243385,13.821520393213252
stage1_MIL_Control_vs_Bile,Bile,5,1,fp,2024Dec_Bile-S1,1,102,3.0709922455602663,0.2085148264756321,0.5770385058986911,11.13011997666385
stage1_MIL_Control_vs_Bile,Bile,5,1,fp,2024Dec_Bile-S3,1,87,3.5677650174678317,0.0836778796117027,0.3309364694843726,25.614204314441928
stage1_MIL_Control_vs_Bile,Bile,5,1,fp,2024Dec_Bile-S6,1,101,2.839960201671637,0.1544816643402745,0.5870236830454973,11.44158050368561
stage1_MIL_Control_vs_Bile,Bile,5,1,fp,2024Dec_Bile-S9,1,100,2.4459859780959063,0.1989436774843186,0.7736402582120591,7.708436352647943
stage1_MIL_Control_vs_Bile,Bile,5,1,fp,2024Dec_Control-S2,0,100,3.668085018274837,0.0817410804917049,0.3612335701094996,24.35712556387582
