task,disease_label,rep,fold,view,SampleKey,y_true,n_cells,attn_entropy,attn_top1,attn_top5_sum,attn_eff_n
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2024Dec_Control-S9,0,84,3.56643800129082,0.0820347375198504,0.3337758582378934,26.01674586148355
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,20250430S43,1,69,3.1555565769592784,0.1354800311324303,0.4762601918532132,15.677033378782284
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,20250430S47,1,96,3.532198504664084,0.0859442718579254,0.344616264943756,24.02346691288618
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,20250430S50,1,91,3.160636488108341,0.1897660399020297,0.5202123039279133,12.940313367289146
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2025Jan_Pancreas-B13,1,88,3.881972914574377,0.0434211296735567,0.1938803339627965,40.77240867116491
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2025Jan_Pancreas-B3,1,83,3.694956109200391,0.0842859611123933,0.2835645726493686,30.236407792102053
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2025Jan_Pancreas-B8,1,93,4.155322449804187,0.0297746427164454,0.1359375512721717,56.56758561834992
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2026Apr-2_Control-20260427S10,0,76,3.444402074636213,0.098338274821913,0.3755447813896455,21.99577879214271
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2026Apr-2_Control-20260427S7,0,74,3.423507110143664,0.1101965758217672,0.3440887332182704,22.78255429901739
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2026Apr-2_Control-20260427S9,0,84,3.6876589822857073,0.0774132765413272,0.3057036762895723,30.00223943053501
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2026Apr_Control-20260401S12,0,70,3.687514493113057,0.0476800355158411,0.2332711717888791,32.92264249903826
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2026Apr_Control-20260401S5,0,69,2.985431614187992,0.134876680155019,0.5629742086503152,13.085533696965726
stage1_MIL_Control_vs_Pancreas,Pancreas,2,1,ch,2026Apr_Control-20260401S9,0,94,3.770071556769875,0.0624772868036259,0.2598266156223113,33.561863718094315
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2024Dec_Control-S10,0,95,3.807263734511242,0.0688778591396146,0.2664425714617066,33.00290904300524
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2024Dec_Control-S6,0,98,3.8632867700070177,0.0503350014025491,0.228964352036978,36.35307447459956
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,20250430S40,1,93,3.5829255898920533,0.0904086383932558,0.3684561151984024,23.444326162939756
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,20250430S42,1,97,3.552672617723914,0.0846727534584545,0.3580787629373616,23.36284590186401
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,20250430S48,1,92,3.6018696141902966,0.0864159432820966,0.3270051453863258,25.887851890926637
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2025Jan_Pancreas-B1,1,98,4.031224471524647,0.0352394742021524,0.1598582396115297,48.321559744982174
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2025Jan_Pancreas-B14,1,90,3.588905280333556,0.0700976334864371,0.2992097135411294,26.39113681649637
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2025Jan_Pancreas-B4,1,68,3.4663703739433043,0.0821973899775284,0.3572412222410313,23.449631817397915
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2025Jan_Pancreas-B9,1,98,4.266488995216237,0.0248493753920021,0.1128396815917711,64.44308534352554
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2026Apr-2_Control-20260427S2,0,95,4.056033932207672,0.0398311581839891,0.1844217037408988,46.2080653741705
stage1_MIL_Control_vs_Pancreas,Pancreas,2,2,all,2026Apr-2_Control-20260427S8,0,90,4.285648481651124,0.0281445984519537,0.1293464733238416,64.24703648313
